,process,region,binning,color,process_type,scale,variation,source_filename,source_histname,alias,title,combine_idx,lnN,shapes,syst_type,direction,variation_alias
0,data_obs,pass,default,black,DATA,1,nominal,./histograms_for_2DAlphabet_v1/NoHcalLDMX_PNbkg_SR_random.root,hpass,PNbkg_SR_random,PNbkg_SR_random,,,,,,
1,Signal_M1MeV_SR_random,pass,default,red,SIGNAL,1.0,nominal,./histograms_for_2DAlphabet_v1/NoHcalLDMX_Signal_M1MeV_SR_random.root,hpass,Signal_M1MeV_SR_random,DM Signal,,,,,,
2,Signal_M10MeV_SR_random,pass,default,red,SIGNAL,1.0,nominal,./histograms_for_2DAlphabet_v1/NoHcalLDMX_Signal_M10MeV_SR_random.root,hpass,Signal_M10MeV_SR_random,DM Signal,,,,,,
3,Signal_M100MeV_SR_random,pass,default,red,SIGNAL,1.0,nominal,./histograms_for_2DAlphabet_v1/NoHcalLDMX_Signal_M100MeV_SR_random.root,hpass,Signal_M100MeV_SR_random,DM Signal,,,,,,
4,Signal_M1000MeV_SR_random,pass,default,red,SIGNAL,1.0,nominal,./histograms_for_2DAlphabet_v1/NoHcalLDMX_Signal_M1000MeV_SR_random.root,hpass,Signal_M1000MeV_SR_random,DM Signal,,,,,,
5,data_obs,fail,default,black,DATA,1,nominal,./histograms_for_2DAlphabet_v1/NoHcalLDMX_PNbkg_SR_random.root,hfail,PNbkg_SR_random,PNbkg_SR_random,,,,,,
6,Signal_M1MeV_SR_random,fail,default,red,SIGNAL,1.0,nominal,./histograms_for_2DAlphabet_v1/NoHcalLDMX_Signal_M1MeV_SR_random.root,hfail,Signal_M1MeV_SR_random,DM Signal,,,,,,
7,Signal_M10MeV_SR_random,fail,default,red,SIGNAL,1.0,nominal,./histograms_for_2DAlphabet_v1/NoHcalLDMX_Signal_M10MeV_SR_random.root,hfail,Signal_M10MeV_SR_random,DM Signal,,,,,,
8,Signal_M100MeV_SR_random,fail,default,red,SIGNAL,1.0,nominal,./histograms_for_2DAlphabet_v1/NoHcalLDMX_Signal_M100MeV_SR_random.root,hfail,Signal_M100MeV_SR_random,DM Signal,,,,,,
9,Signal_M1000MeV_SR_random,fail,default,red,SIGNAL,1.0,nominal,./histograms_for_2DAlphabet_v1/NoHcalLDMX_Signal_M1000MeV_SR_random.root,hfail,Signal_M1000MeV_SR_random,DM Signal,,,,,,
